TAG,Tag Description,MACHINE_GROUP,LOW_THRESHOLD,HIGH_THRESHOLD,THRESHOLD_TYPE,AGGREGATION_RULE,ENGINEERING_UNITS,CATEGORY
32XI453,GEARBOX AXIAL DISPLACEMENT (PINION ),K-3201 A_KM-3201 A,-0.300000011920929,0.300000011920929,Up/Down,avg,mm,Axial Displacement
32XI454,GEARBOX AXIAL DISPLACEMENT (GEAR ),K-3201 A_KM-3201 A,-0.300000011920929,0.300000011920929,Up/Down,avg,mm,Axial Displacement
32XI455,VIBRATION JOURNAL BEARING (DISCHARGE END-JOURNAL ),K-3201 A_KM-3201 A,,70,Up,max,micron,Vibration
32XI456,VIBRATION JOURNAL BEARING  (INTAKE END-THRUST /JOURNAL ),K-3201 A_KM-3201 A,,70,Up,max,micron,Vibration
32XI457,AXIAL DISPLACEMENT COMPRESSOR (INTAKE END),K-3201 A_KM-3201 A,-0.449999988079071,0.449999988079071,Up/Down,avg,mm,Axial Displacement
33AI601,AXIAL DISPLACEMENT TURBINE (EXHAUST END),K-3301 B_KT-3301 B,-0.300000011920929,0.3499999940395355,Up/Down,avg,mm,Axial Displacement
33AI602,AXIAL DISPLACEMENT COMPRESSOR (INTAKE END),K-3301 B_KT-3301 B,-0.300000011920929,0.300000011920929,Up/Down,avg,mm,Axial Displacement
33PI222,LUBE OIL INLET PRESSURE ,K-3301 B_KT-3301 B,1.5,,Down,min,kg/cm2,Pressure
33PI601,CONTROL OIL OUTLET PRESSURE,K-3301 B_KT-3301 B,9,,Down,min,kg/cm2,Pressure
33SI501A,Shutdown indicator when value <100,K-3301 B_KT-3301 B,,10000,Up,max,rpm,
33TI602,JOURNAL BEARING TEMPERATURE (STEAM END),K-3301 B_KT-3301 B,,100,Up,max,degC,Temperature
33TI603,JOURNAL BEARING TEMPERATURE (EXHAUST END),K-3301 B_KT-3301 B,,100,Up,max,degC,Temperature
33TI604,THRUST PADS OUTBOARD TEMPERATURE TURBINE,K-3301 B_KT-3301 B,,125,Up,max,degC,Temperature
33TI606,THRUST PADS INBOARD TEMPERATURE TURBINE ,K-3301 B_KT-3301 B,,125,Up,max,degC,Temperature
33TI607,JOURNAL PADS TEMPERATURE (DISCHARGE END),K-3301 B_KT-3301 B,,125,Up,max,degC,Temperature
33TI608,JOURNAL PADS TEMPERATURE (INTAKE END),K-3301 B_KT-3301 B,,125,Up,max,degC,Temperature
33TI609,THRUST PADS INBOARD TEMPERATURE,K-3301 B_KT-3301 B,,125,Up,max,degC,Temperature
33TI611,THRUST PADS OUTBOARD TEMPERATURE,K-3301 B_KT-3301 B,,125,Up,max,degC,Temperature
33TI613,THRUST PADS INBOARD TEMPERATURE TURBINE ,K-3301 B_KT-3301 B,,125,Up,max,degC,Temperature
33VI601,VIBRATION JOURNAL BEARING (STEAM END- JOURNAL),K-3301 B_KT-3301 B,,50,Up,max,micron,Vibration
33VI602,VIBRATION JOURNAL BEARING TURBINE (EXHAUST END- THRUST/JOURNAL),K-3301 B_KT-3301 B,,82,Up,max,micron,Vibration
33VI603,VIBRATION JOURNAL BEARING (DISCHARGE END- JOURNAL- COMPRESSOR,K-3301 B_KT-3301 B,,75,Up,max,micron,Vibration
33VI604,VIBRATION JOURNAL BEARING (INTAKE END- THRUST/JOURNAL -COMPRESSOR),K-3301 B_KT-3301 B,,75,Up,max,micron,Vibration
57FI001A,C. AIR DISCHARGE FLOW ,K-5701,1800,,Down,min,Kg/h,Flow
57PI005,C. AIR DISCHARGE PRESSURE,K-5701,0.5,0.6000000238418579,Up/Down,avg,Kg/cm2,Pressure
57PI014,GEAR BOX LUBE-OIL PRESSURE,K-5701,1,,Down,min,Kg/cm2,Pressure
57PIC004,C.AIR BLOW OFF PRESSURE,K-5701,0.5,,Down,min,Kg/cm2,Pressure
57TI003,C.AIR DISCHARGE TEMPERATURE ,K-5701,,115,Up,max,degC,Temperature
57TI030,GEAR BOX TEMPERATURE,K-5701,,90,Up,max,degC,Temperature
75PDI853,PRIMARY VENT DIFFERENTIAL PRESSURE,K-7502_ST-7501,,3,Up,max,kg/cm2,Pressure
75PI808,LUBE OIL MAIN PUMP DELIVERY PRESSURE,K-7502_ST-7501,,,,avg,kg/cm2,Pressure
75PI823,LUBE OIL HEADER PRESSURE,K-7502_ST-7501,"1,799,999,952,316,280",,Down,min,kg/cm2,Pressure
75PI845,N2 INLET PRESSURE,K-7502_ST-7501,0.84,,Down,min,kg/cm2,Pressure
75PI870,CONTROL OIL HEADER PRESSURE ,K-7502_ST-7501,4.2,,Down,min,kg/cm2,Pressure
75SI865R,Shutdown indicator when value <100,K-7502_ST-7501,6050,8500,Up/Down,avg,rpm,
75TI821,STEAM TURBINE NG 40/32 THRUST BEARING TEMPERATURE,K-7502_ST-7501,,120,Up,max,degC,Temperature
75TI822,STEAM TURBINE NG 40/32 THRUST BEARING TEMPERATURE,K-7502_ST-7501,,120,Up,max,degC,Temperature
75TI824,STEAM TURBINE NG 40/32 JOURNAL BEARING TEMPERATURE,K-7502_ST-7501,,120,Up,max,degC,Temperature
75TI827,STEAM TURBINE NG 40/32 THRUST BEARING TEMPERATURE,K-7502_ST-7501,,120,Up,max,degC,Temperature
75TI828,STEAM TURBINE NG 40/32 THRUST BEARING TEMPERATURE,K-7502_ST-7501,,120,Up,max,degC,Temperature
75TI829,COMPRESSOR BCL 509/A  THRUST BEARING TEMPERATURE,K-7502_ST-7501,,120,Up,max,degC,Temperature
75TI830,COMPRESSOR BCL 509/A  THRUST BEARING TEMPERATURE,K-7502_ST-7501,,120,Up,max,degC,Temperature
75TI831,COMPRESSOR BCL 509/A  THRUST BEARING TEMPERATURE,K-7502_ST-7501,,120,Up,max,degC,Temperature
75TI832,COMPRESSOR BCL 509/A  THRUST BEARING TEMPERATURE,K-7502_ST-7501,,120,Up,max,degC,Temperature
75TI834,COMPRESSOR BCL 509/A  JOURNAL BEARING TEMPERATURE,K-7502_ST-7501,,120,Up,max,degC,Temperature
75TI836,COMPRESSOR BCL 509/A  JOURNAL BEARING TEMPERATURE,K-7502_ST-7501,,120,Up,max,degC,Temperature
75XI821BX,STEAM TURBINE NG 40/32 JOURNAL BEARING RAD. VIBRATION,K-7502_ST-7501,,89,Up,max,micron,Vibration
75XI822BY,STEAM TURBINE NG 40/32 JOURNAL BEARING RAD. VIBRATION,K-7502_ST-7501,,89,Up,max,micron,Vibration
75XI823BX,COMPRESSOR BCL 509/A  JOURNAL BEARING RAD. VIBRATION,K-7502_ST-7501,,89,Up,max,micron,Vibration
75XI824BX,COMPRESSOR BCL 509/A  JOURNAL BEARING RAD. VIBRATION,K-7502_ST-7501,,89,Up,max,micron,Vibration
75ZI800BA,STEAM TURBINE NG 40/32 SHAFT AXIAL DISPLACEMENT,K-7502_ST-7501,-0.5,0.5,Up/Down,avg,mm,Axial Displacement
75ZI800BB,STEAM TURBINE NG 40/32 SHAFT AXIAL DISPLACEMENT,K-7502_ST-7501,-0.5,0.5,Up/Down,avg,mm,Axial Displacement
75ZI801BA,COMPRESSOR BCL 509/A SHAFT AXIAL DISPLACEMENT,K-7502_ST-7501,-0.5,0.5,Up/Down,avg,mm,Axial Displacement
75ZI801BB,COMPRESSOR BCL 509/A SHAFT AXIAL DISPLACEMENT,K-7502_ST-7501,-0.5,0.5,Up/Down,avg,mm,Axial Displacement
